trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
6927732740651522,10:04:00,10:04:00,2539,1,,
6927732740651522,10:05:00,10:05:00,2393,2,,
6927732740651522,10:06:00,10:06:00,2463,3,,
6927732740651522,10:07:00,10:07:00,2430,4,,
6927732750651522,12:41:00,12:41:00,2539,1,,
6927732750651522,12:42:00,12:42:00,2393,2,,
6927732750651522,12:44:00,12:44:00,2463,3,,
6927732750651522,12:45:00,12:45:00,2430,4,,
6927732760651522,12:41:00,12:41:00,2539,1,,
6927732760651522,12:42:00,12:42:00,2393,2,,
6927732760651522,12:44:00,12:44:00,2463,3,,
6927732760651522,12:45:00,12:45:00,2430,4,,
6927732770651522,10:09:00,10:09:00,2539,1,,
6927732770651522,10:10:00,10:10:00,2393,2,,
6927732770651522,10:12:00,10:12:00,2463,3,,
6927732770651522,10:13:00,10:13:00,2430,4,,
7027732720651522,14:01:00,14:01:00,2539,1,,
7027732720651522,14:02:00,14:02:00,2393,2,,
7027732720651522,14:04:00,14:04:00,2463,3,,
7027732720651522,14:05:00,14:05:00,2430,4,,
7027732730651522,11:18:00,11:18:00,2539,1,,
7027732730651522,11:19:00,11:19:00,2393,2,,
7027732730651522,11:20:00,11:20:00,2463,3,,
7027732730651522,11:21:00,11:21:00,2430,4,,
7027732740651522,10:08:00,10:08:00,2539,1,,
7027732740651522,10:09:00,10:09:00,2393,2,,
7027732740651522,10:10:00,10:10:00,2463,3,,
7027732740651522,10:11:00,10:11:00,2430,4,,
7027732750651522,12:47:00,12:47:00,2539,1,,
7027732750651522,12:48:00,12:48:00,2393,2,,
7027732750651522,12:49:00,12:49:00,2463,3,,
7027732750651522,12:50:00,12:50:00,2430,4,,
7027732760651522,12:47:00,12:47:00,2539,1,,
7027732760651522,12:48:00,12:48:00,2393,2,,
7027732760651522,12:49:00,12:49:00,2463,3,,
7027732760651522,12:50:00,12:50:00,2430,4,,
7027732770651522,10:13:00,10:13:00,2539,1,,
7027732770651522,10:14:00,10:14:00,2393,2,,
7027732770651522,10:16:00,10:16:00,2463,3,,
7027732770651522,10:17:00,10:17:00,2430,4,,
7127732720651522,14:06:00,14:06:00,2539,1,,
7127732720651522,14:07:00,14:07:00,2393,2,,
7127732720651522,14:09:00,14:09:00,2463,3,,
7127732720651522,14:10:00,14:10:00,2430,4,,
7127732730651522,11:23:00,11:23:00,2539,1,,
7127732730651522,11:24:00,11:24:00,2393,2,,
7127732730651522,11:25:00,11:25:00,2463,3,,
7127732730651522,11:26:00,11:26:00,2430,4,,
7127732740651522,10:12:00,10:12:00,2539,1,,
7127732740651522,10:13:00,10:13:00,2393,2,,
7127732740651522,10:15:00,10:15:00,2463,3,,
7127732740651522,10:16:00,10:16:00,2430,4,,
7127732750651522,12:52:00,12:52:00,2539,1,,
7127732750651522,12:53:00,12:53:00,2393,2,,
7127732750651522,12:55:00,12:55:00,2463,3,,
7127732750651522,12:56:00,12:56:00,2430,4,,
